BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
200,20000,3,0,2,0,0,"0
"
200,20000,3,3,30,2,22,"0
"
515,51500,3,6,63,2,22,"0
"
200,20000,3,7,71,0,0,"0
"
465,46500,3,11,114,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
453,45300,3,0,1,0,0,"9999999
"
210,21030,3,1,15,0,0,"0
"
535,53500,3,11,114,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,1,16,0,0,"9999999
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
518,51800,3,6,63,0,0,"0
"
210,21030,3,2,22,0,0,"0
"
200,20000,3,1,16,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
200,20000,3,0,2,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
710,71041,3,7,71,0,0,"0
"
210,21030,3,4,40,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
210,21030,3,4,40,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
515,51500,3,10,101,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
200,20000,3,0,2,2,23,"0
"
200,20000,3,2,22,0,0,"0
"
200,20000,3,1,15,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
300,30005,3,10,101,2,22,"0
"
200,20000,3,4,40,0,0,"0
"
532,53200,3,11,114,2,27,"0
"
200,20000,3,1,15,0,0,"0
"
210,21060,3,3,30,0,0,"0
"
210,21030,3,3,30,0,0,"0
"
521,52100,3,11,114,0,0,"0
"
210,21030,3,3,30,2,22,"0
"
210,21030,3,6,61,2,22,"0
"
210,21030,3,6,63,2,22,"0
"
500,50040,3,6,63,0,0,"0
"
200,20000,3,7,71,0,0,"0
"
300,30015,3,6,65,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
200,20000,3,4,40,0,0,"0
"
500,50000,3,6,65,0,0,"0
"
300,30015,3,4,40,0,0,"0
"
150,15000,3,7,71,0,0,"0
"
515,51500,3,10,101,2,22,"0
"
502,50200,3,6,63,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,5,50,2,27,"0
"
521,52100,3,6,63,0,0,"0
"
426,42600,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
200,20000,3,1,15,2,22,"0
"
521,52100,3,6,63,0,0,"0
"
518,51800,3,5,50,0,0,"0
"
438,43800,3,7,71,0,0,"0
"
210,21030,3,7,71,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,6,64,1,14,"0
"
200,20000,3,10,101,0,0,"0
"
541,54100,3,2,26,0,0,"9999999
"
541,54100,3,2,25,0,0,"9999999
"
501,50100,3,7,71,2,22,"0
"
260,26091,3,6,64,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
502,50200,3,7,71,0,0,"0
"
210,21050,3,4,40,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
426,42600,3,6,63,0,0,"0
"
515,51500,3,7,71,0,0,"0
"
502,50200,3,6,65,0,0,"0
"
401,40100,3,6,63,2,22,"0
"
200,20000,3,6,63,0,0,"0
"
502,50200,3,0,2,0,0,"9999999
"
502,50200,3,0,1,0,0,"9999999
"
500,50000,3,6,63,0,0,"0
"
210,21030,3,2,26,0,0,"0
"
150,15000,3,1,14,0,0,"9999999
"
411,41100,3,7,71,0,0,"0
"
710,71041,3,0,2,2,22,"0
"
200,20000,3,3,30,0,0,"0
"
210,21040,3,0,2,0,0,"9999999
"
501,50100,3,7,71,2,22,"0
"
200,20000,3,2,26,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
200,20000,3,10,101,2,22,"0
"
500,50000,3,7,71,0,0,"0
"
515,51500,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
518,51800,3,0,2,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
518,51800,3,3,30,0,0,"0
"
543,54300,3,2,26,0,0,"9999999
"
500,50040,3,6,63,0,0,"0
"
300,30020,3,6,61,0,0,"0
"
210,21030,3,5,50,0,0,"0
"
521,52100,3,6,65,0,0,"0
"
